House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
"2310 Melrose Dr APT A , Champaign, IL 61820","$114,000 ",2 beds,1 bath,"1,123 sq ft",Contact for details,1980,"Nov 2012 for $114,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2202 Melrose Dr , Champaign, IL 61820","$116,000 ",2 beds,1 bath,"1,113 sq ft","2,160 sqft",1980,"Sep 2013 for $116,000",Forced air,Central,Garage - Attached,Unknown,Yes,"Carpet, Hardwood, Laminate, Linoleum / Vinyl",No
"613 Castleton Dr , Champaign, IL 61821","$75,500 ",3 beds,1 bath,960 sq ft,"6,500 sqft",1980,"Jul 2012 for $75,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"3008 Ladue Dr , Champaign, IL 61822","$105,000 ",3 beds,1 bath,"1,000 sq ft",Contact for details,1980,"Aug 2012 for $105,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"619 Castleton Dr , Champaign, IL 61821","$104,000 ",3 beds,1 bath,"1,073 sq ft","7,035 sqft",1980,"Feb 2012 for $104,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2904 W John St APT A , Champaign, IL 61821","$56,000 ",2 beds,1.5 baths,"1,000 sq ft",Contact for details,1980,"May 2012 for $56,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2609 Heritage Dr , Champaign, IL 61822","$65,000 ",2 beds,1 bath,876 sq ft,Contact for details,1980,"May 2012 for $65,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2205 Melrose Dr APT C , Champaign, IL 61820","$78,000 ",2 beds,1 bath,"1,100 sq ft",Contact for details,1979,"Jul 2011 for $78,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1907 Blackthorn Dr , Champaign, IL 61821","$91,000 ",2 beds,1.5 baths,"1,150 sq ft",Contact for details,1978,"Oct 2013 for $91,000",Forced air,Central,Garage - Attached,Unknown,Unknown,Carpet,Unknown
"1109 Plymouth Dr APT A , Champaign, IL 61821","$85,000 ",2 beds,2 baths,"1,080 sq ft",Contact for details,1978,"Apr 2011 for $85,000",Forced air,Central,Off street,Unknown,Unknown,"Carpet, Tile",Unknown
